row.names	c1G	c1R	c2G	c2R	c3G	c3R	c4G	c4R	c5G	c5R	c6G	c6R	c7G	c7R	c8G	c8R	k1G	k1R	k2G	k2R	k3G	k3R	k4G	k4R	k5G	k5R	k6G	k6R	k7G	k7R	k8G	k8R
205	411.69	337.43	673.53	601.37	412.52	348.43	462.95	373	397.8	511.4	579	630.44	366.64	374.43	472.44	426.5	245.18	445.41	388.7	389.9	499.43	477.64	387.13	602.13	668.66	2131	634.08	620.46	409.71	266.1	389.86	418.36
206	503.5	457	748.92	586.92	370.6	316.4	646.17	626.17	524	626.33	581.27	429	241.69	218.57	512.28	405.5	247.37	253.52	349.57	467.24	262.27	327.5	549.81	672.43	810.67	1973.58	686.2	938.5	382.7	282.15	493.95	616.45
207	455.81	345.96	1154.78	936.22	717.78	507.44	1058.56	827.11	578.63	454.95	1158.42	755.5	584	415.42	743.67	523.56	394.83	426.5	431.3	417.83	685.35	521.5	695.05	882.05	1342.33	3800.44	783.36	876.93	690.12	495.18	783.78	609.41
208	512.06	386.28	876	691.53	409.92	332.16	718.53	602.47	490.25	490.83	883.58	710.64	487.89	428.11	729.19	514.5	218.71	258.86	562.11	597.78	445.18	431.63	666.17	902.95	750.58	1626.42	925.36	1810.73	599.58	592.79	835.24	571.76
209	472.75	329.17	987.61	660.83	424.13	338.47	541.11	441.11	353.4	461.86	670	644.2	320.24	349.88	603.69	644.85	237.84	335.36	446.53	562.6	356.59	364.49	580.8	899.8	813.66	1279.11	715.08	1100.92	374.04	395.39	609.27	809.55
210	631.34	540.42	831.26	517.31	497.53	440.69	594.63	429.41	522.27	563.37	897.11	731.89	964.78	1523.22	608.26	460.87	263.29	330.11	441.47	446.67	643.91	641	739.44	1621.33	1038.44	2182.67	1057.73	2012.18	456.25	498.25	823.67	831.5
211	585.22	684	1292.14	1056.1	642.54	516.82	742.09	804.96	272.83	449.42	567.11	621.96	504.84	341.19	547.8	642.7	453.43	742.85	500.85	625.47	446.67	390.63	1002.1	1168.7	618.92	878.75	872.77	1092.93	374.5	371.84	597.81	675.38
212	942.11	891.84	822.5	841.17	440.42	388.81	735.76	763.12	412.5	446.83	653.25	584.33	501.46	550.73	390.18	490.27	247.88	476.52	443.43	471.56	380.98	335.41	443.66	536.14	484.29	402.48	706.64	933.45	476.46	693.47	514.53	463.09
213	0	0	1023.5	857.82	455.69	519.08	599.88	542.98	391.79	522.64	827.4	641	377.83	283.44	394.52	478.48	368.61	654.26	518.79	576.74	421.38	401.29	741.24	602.14	472.79	475.93	556.13	432.84	417.64	766.41	456.3	431.42
214	776.17	434.96	1207	1008.29	379.15	324.2	653.72	597.48	321.91	433.26	529	625	317.36	291	658.54	617.46	335.88	550.36	820.81	1263.25	358.35	335.19	661.26	662.05	439.7	396.88	698	1033.27	576.83	779.42	484.84	722.05
215	1403	1097.82	1114.4	921	793.94	745.32	649.78	680.22	679.73	617.87	854.42	745.74	740.43	735.61	1109.55	1393.3	420.97	657.97	706.6	987.4	479.73	456.7	906.95	1180.11	642.19	812.3	1342.42	2212.76	1225	1597.67	884.19	926.29
216	901	896.46	4644.3	3017.7	387.53	293.38	454.24	454.88	318.76	435.24	401.38	549.55	329.89	249.79	489.08	529.54	190.03	318.68	497.33	621.58	515.73	614.36	651.14	681.05	490.19	422.86	719	956.92	586	1126	480.18	502.78
217	1397.42	1058	8866.6	13470	1235.54	1100.54	1229.85	1259.25	933.12	666	1536.4	1270.4	799.62	654.82	1019.45	816.7	310	489.22	1168.41	1407.65	604.56	735.56	2496.58	2149.25	686.91	787.45	1780.5	1465.35	582.18	521.5	1027.56	980.89
218	1420.25	1029.67	3933.8	5097.52	868.15	752.69	770.92	811.7	702.42	1004.58	1125.5	905.28	619.73	432.59	868.59	971.35	421.19	568.67	596.2	734.5	608.5	548.56	780.08	903	657.46	966.08	990.47	1308.53	762.28	1174.14	941.52	1088.91
219	638.8	580.2	1771.91	1631.91	327.28	286.54	586.83	487.91	331.64	405.93	567.3	632.4	391	301	617.82	632.18	229.53	318.55	516.89	700.32	390.5	361.69	474.85	503.46	420.81	378.24	438.79	572.1	530.47	658.4	420.52	498.83
220	652.11	646.83	2099.59	3348.71	429.03	422.24	604.78	533.11	388.73	461.73	626.53	556.11	512.29	376.5	697.09	919.55	269.46	480.3	717.83	682.75	359.91	390.58	681.48	984.42	935.78	2070.33	862.59	1028.53	568.33	781.92	757.61	857.44
221	979	799	1034.47	836	560.38	420.81	724.55	593.64	450.87	419.4	880.83	792.25	611.6	492.9	776.46	679.08	335.32	561.9	511.43	545.61	747.76	587.71	695.74	916.53	634.17	790.35	1023.15	1205.31	572.56	568.24	775.29	659.86
222	850.91	671.67	1118.78	766.11	849.6	750.2	700.33	664.42	507.82	605.48	1040.17	879.33	740.44	823.33	926.36	896.64	339.97	410.03	726.05	631.28	577.59	558.65	602	753.32	645.79	780.95	631.78	878.78	544.18	539.45	791	987.31
223	770.22	770	970.69	650.69	603.33	571.75	690.7	765.9	708.18	833.91	663.14	629.36	515.24	474.76	771.2	570.73	299.07	375.5	639.37	633.38	727.75	593.95	507.77	575.64	815.88	1114.06	691.11	1031.68	640.27	588.33	925.08	1101
224	3070	2474.75	4137.27	3180.93	2571.82	1804.27	2936.7	2799.2	2496.91	1539.73	4192.46	2556.92	2635.42	1276	2817.47	2016.12	2178.9	1511.84	1491.8	1363.7	3363.82	2350.06	2593.47	2490.33	2306.58	3428.83	3448.59	2593.7	2692.82	1463.94	3777.73	2844.33
225	1263.33	930.78	1240.11	1079.56	805.22	645	568.88	603.25	632.17	800.08	916.93	879.73	637.67	521.93	745.71	659.81	468.22	726.39	600.75	691.5	650.84	670.16	666.37	960.36	1132.56	3655.62	638.61	906.94	698.67	499	880.5	1485.12
226	880.33	826.89	1137.95	842.25	727.46	630.64	958.11	890.33	474.14	665.52	1428.78	971.89	555.33	509.17	925.7	781.35	353.62	595.08	569.33	705.83	693.44	573.38	713.75	1109.42	1033.17	2308.42	913.38	1125.52	611.9	577.81	982.75	1064.92
227	1017.8	740.8	838.15	610.15	1244.9	713.08	676.79	619.17	522.65	695.55	1015.29	845.12	455.21	440.26	1077.1	853.4	366	348.58	286.56	325.39	469.59	397.44	622.9	1037.1	953.96	2321.53	777	800.6	597.36	518.23	963.44	1388.44
228	1793.42	1546.17	1857	1079.67	1501.44	890.62	1245.71	949.59	994.1	914.42	2402.47	1294.13	1201.3	779.23	1669.55	1223.64	444.88	497.5	915.12	713.82	748.29	491.25	1288.75	1660.44	1607.89	4241.44	1185.38	1081.12	1038.67	694.28	1428.2	1803.1
229	787.73	863.27	1310	893	725.38	529.69	815.15	656.42	942.46	775.38	1276.64	892.91	478.47	480	922.04	663.19	418.69	474.92	515.78	600.77	734.67	555.52	902.47	1015.71	792.39	1179	544.14	460	961.56	924.44	1077.53	867.4
230	1127.92	793.15	1140	694.5	963.92	775.46	843.46	647.38	829.14	780.79	1319.53	887	616.3	704.7	1085.11	937	289.53	380.73	297.6	271.34	846.08	709.85	398	374.56	1260	2399.27	417.21	346.18	785.94	600.06	754.83	871.75
231	4263.94	2112.94	6799.54	4110.85	5287.56	3211.06	4900.6	3205.73	4709.43	2830.07	5895.23	3214.15	5007.92	2512.58	4836.85	3143.85	1177.5	886.75	3392.93	2315.21	4356.47	2552	3304	2485.5	3810.93	2918.8	358.06	295.97	4225.5	2122.22	7108.27	3720.91
232	818.25	743.38	1246.5	1047.25	893.22	767.68	940.26	836.23	433.85	432.05	639	697.45	1034.94	843.89	638.22	895.17	600.9	926.7	627	665.5	586.77	597.36	725.36	859.14	578.82	650.11	479.41	336.7	548.86	679.14	995.64	1794
233	4216	2989.18	5339.42	5017.42	3317	3004.78	3861.4	3980.87	2528.89	1514	4866.48	3083.9	2893.95	1634.11	2551.2	1731.65	2017.82	1690.36	562.73	636.27	2745	2478.29	2702.8	2498.94	2969.29	1938.64	1907.76	1655.19	3125	1811.32	4134.85	2806.46
234	2432.12	2194.81	1119.1	913.81	766.06	741.56	957.06	1039.69	461.42	524.12	1238.92	1004.33	468.55	361.8	672	793.63	551.08	1201.29	635.43	906.93	575.04	465.96	989.73	1131.68	684.24	847.36	767.09	930.86	568.65	1008.95	801.46	802.85
235	1205.04	846.74	1304.42	1164.76	642.71	631	680.38	656.87	371.24	567.96	840.37	889.82	382.62	277.18	685.65	869.71	467.23	884.06	568	558.67	593.65	560.59	719.48	934.52	567.89	762.85	894.43	1499.48	743.58	1634.92	556.1	829.24
236	1084.35	964.75	1058.33	1138.53	581.15	451.48	736.84	769.08	732.11	956.23	563.21	592.21	645.67	628.55	692.59	1081.23	320.95	621.6	347.68	408.76	553.82	488.24	782.65	881.23	460.5	626.93	767.94	1246.93	794.07	1356	778	961.67
237	1562.5	1451.9	884.92	538.79	838.54	768.77	623.48	685.52	650	824.13	775	806.95	583.75	505.85	738.62	956.94	432.84	692.08	683.96	874	504.61	503.29	908.83	957.91	561.43	656.48	1026.05	1938.2	1012.54	2157.39	802.8	744.55
238	1384.36	1122.71	2604.45	1328.5	1023.78	626.67	995.34	880.44	685.6	829.25	1587.13	1041.2	1287.9	1180.7	1377.94	1546.87	563	798.27	1008.47	1089.27	739.07	550.4	1223.82	1605.06	757.11	916.33	1089.55	1534.15	1119.5	1764.19	1191.46	1551.31
239	1870.9	1438.6	9481.46	16185.65	942.62	760.79	916.66	1085.61	1166.83	980.33	1839.87	1188.93	1073.93	805.33	1323.31	1174.23	497.15	683.29	813.64	945.5	817.07	749.07	1040.4	1167	833.85	1352.92	1283.65	1063.92	1121.94	1112.37	1594.33	1409.33
240	877.69	735.92	1877.58	3771.67	516.86	506.57	500.55	766.28	408.5	469.78	450.42	561	310	336.16	543.76	461.05	308.1	529.96	552.6	629.2	593.17	621.12	624.81	710.38	630.76	863.52	792.71	1283.29	785.53	1127.63	524.76	636.54
241	634.07	528.13	3000.91	5423.36	501.8	453.87	638.24	756.16	470.12	463.12	532.68	564.68	368.13	428	762	686.84	328.73	487.3	348.57	382.71	515.72	413.16	1015.25	1114.33	562.08	1191.75	812.71	882	554.08	536.83	613.12	514
242	1971.09	1367.55	2165.87	1700.69	1808.55	1121.2	1445.47	1134.2	1096	686.8	2531.21	1279.36	1237.93	614.86	1387.12	1056.54	723.48	784.91	1479.31	871.38	1903.33	1155.22	1917.29	1701.29	888.42	852.5	1592.96	1321.74	1504.94	858.88	1829.88	1150.75
243	1200	1016.89	759.58	751.62	1106.83	894.25	1328.93	1102.93	899.71	582.07	1722.54	982.23	1131.56	1213.89	1454.11	1337.22	363.8	412.8	932.5	911.83	952.62	794.88	1040.9	820.9	889.83	807.25	1636.47	1448.2	1517.33	1302	1400.95	1074.84
244	693.92	607.85	1363.95	1465.89	599.25	491.38	651.42	715.5	476.07	573.07	896.17	800.58	578	652.92	554.41	523.35	319	346	718.86	871.57	637.75	521	551.52	749.67	625.5	847.42	663.27	771.45	803.89	916.33	884.2	1055.6
245	731.66	600.5	793.64	599.71	505.31	411.44	512.18	530.64	430.77	607.34	496.61	670	302.23	408.61	434.68	545.63	220.17	290.79	553.34	554.67	426.39	436.61	509.42	616.12	683.5	1566.67	584.59	685.41	501.48	542.43	748.82	682
246	634.36	567.71	948.53	711.43	521.47	407.6	421.91	420.05	435.63	614.53	590.05	669.5	410.6	507.94	523.23	522.65	268.75	458.47	527.42	652.75	534.57	595.54	810.28	1386.86	1179.9	2635.8	775.31	1307.94	675.04	917.07	774.41	854.17
247	529.11	436.78	713.74	626.32	379.75	387.14	549.89	526.56	373.31	368.25	881.5	582.6	461.38	411.94	574.89	735.83	254.09	367.29	424.35	555.07	502.44	626.43	540.15	693.92	678.78	1473.61	642.68	726.05	531.47	376.13	699.19	673.19
248	812.27	516	811.53	637.37	481	327.14	694.33	546.43	382.37	531.11	796.21	513.79	361.5	253.56	577.06	591	353.67	537.78	465.61	504.62	484.56	446.78	493	601.76	626.85	1683.4	592.58	536.84	649.33	782.67	510.27	538.14
249	955.11	757.45	662.96	599.92	689.3	547.2	683.45	652	425.25	461.88	554.77	595.61	632.46	644.18	793.92	689.08	267.62	425.31	458.2	497.85	524.5	449.54	685.79	830.47	912.22	1629.87	804.5	834.28	744.62	773	717	884
250	832.78	583.22	988.9	774.8	520.88	411.29	433	343.78	351	360.25	625.22	598.5	448.75	521.12	588.42	680.79	323.34	451.49	512.07	592.14	422.71	418.55	661.42	789.79	1106.35	2431.65	744.9	818.81	549.45	641.25	631.58	513.67
251	856.75	649.92	894.3	552.13	524.11	411.56	575.64	449.45	367.27	345.19	531.19	451.5	493.74	425.9	661	538.8	216.04	297.08	439.38	1303.16	427.92	361.5	518.33	774.67	681.35	828.48	509.81	461.47	462.46	397.5	508.32	526.79
252	886.9	613.43	876.07	613.36	451.32	457.37	475.75	440.8	378.25	437.19	711.75	595.94	678.67	896.11	718.33	713.75	281	373.47	390.74	503.4	410.44	378.4	484.88	615.75	682.64	1316.57	775.11	1119.89	680.58	755.17	606.32	768.05
253	752.67	1194.22	1338.94	893.39	684.38	535	1043.53	917.87	298.28	263.9	524.72	539.11	844.33	679.34	579.61	692.11	463.09	1041.06	425.96	502.05	635.52	800.4	977.77	1177.15	590.07	709	1077.31	1856.44	427.34	511.46	456.18	489.88
254	832.52	858.85	977.11	815.24	460.76	447.2	822.89	824.36	236.53	292.11	583.55	647.75	721.78	525.13	463.69	544.28	389.7	635	659.42	725	517.93	459.93	655.68	754.52	509.29	552.76	633.34	969.79	449.65	433.77	575.27	580.73
255	1360.26	1115.43	1170.31	847	577.33	475.95	661.82	596.61	305.64	408.4	644.59	650.94	541.76	401.29	546.54	491.75	462.71	874.96	588.52	784.3	632.16	522.42	832.06	976.84	731.33	1083.08	598.64	601.23	400.88	375.77	590.21	523.93
256	750.17	439.49	811.55	885.55	530.76	439.68	726.46	634.71	302.73	316.77	567	672.17	477.81	378.88	466.29	478.93	438.41	727.37	584.1	762	492.31	359.62	752.13	836.14	519.11	989	641.11	814.21	532.55	503.91	515.8	496.7
257	1056.87	829.07	3052.22	1468.22	694.32	623.58	654.14	655.59	274.41	330.21	644.41	697.71	560.89	448.05	626.4	761.6	395.55	748.15	459.48	541.77	586.18	614.61	757.8	824.3	599.18	776.14	751.38	1134.54	539.3	657.52	613.1	799.62
258	714	640.6	2854.14	1285.26	500.16	330.77	695.38	596.77	250.64	307.93	445.89	563.74	343.51	274.19	427.8	423.2	322.24	611.94	605.79	781.14	462.6	347.35	647.4	759.07	481.6	553.67	512.58	465.63	725.08	1319.42	514.26	475.94
259	643.7	478.73	1627.11	1054.56	522.59	415.09	580.76	590.92	346.83	381.34	483.03	595.76	965.03	587.81	701.89	700.61	377.2	617.09	510.28	676.11	476.08	431.59	598.65	849.88	471.08	581.77	771.78	775.22	667.2	630.33	876.58	1240.62
260	863.64	826.86	2002.35	987.39	426.56	483.22	529.79	566.64	396.92	434.32	640.78	648.33	434.47	501.06	670.22	664	324.02	527.23	686.23	818.92	539.82	530.34	664.85	827.9	737.11	855.79	946.34	800	764.35	943.76	685.27	669.16
261	588	469.28	926.23	706.82	424.1	439.48	472.05	515.05	372.17	524.89	530.8	613.87	417.72	469.44	581.62	533.44	242.34	420.34	504.31	598.5	412.4	457.47	549.96	629.84	505	710.11	527.12	620.77	449.28	319.86	516.03	501.67
262	927.33	788.23	989.44	712.67	450.76	457.95	625.17	709.42	466.18	603.36	571.85	553.15	401.46	563.69	722.17	887.5	262.5	481.27	491.82	605.19	437.74	468.93	570.24	736.53	799.62	2105.38	789.24	1035.06	672.56	680.67	628.35	707.94
263	795.44	647.33	1822.22	1428.67	571.39	514.54	484.86	595.72	417.57	477.86	609.08	615.58	542.83	474.92	773.78	986.11	306.88	531.46	705.56	771.78	523.94	464.13	663.72	741.72	837.38	1416.81	703.15	949.95	562.19	528.05	735.58	745.84
264	794.5	789.2	801.71	629.65	434.4	404.65	447.74	668.47	317.21	488.21	460.58	698.64	511.67	683.93	596.7	714.53	336.63	660.4	582.42	490.68	621.41	767.36	663.55	958.09	583.23	816.47	897.44	1082.11	594.5	663.82	524.44	500
265	978	696.4	1729.36	2956.91	721	624.78	770.11	811.44	436.33	393.21	798.29	842.72	427.95	408.24	601.78	632.72	357.14	874.64	591.45	584.85	692.11	589.81	631.78	869.39	1038.63	1894.21	788.2	1038.1	727	867.58	744.25	622.87
266	704.2	532	1422.15	1077.69	494.8	449.4	433.56	663.69	409.16	549.92	685.12	546.62	534.11	339.33	764.07	802.78	308.29	374.14	485.22	544.52	684.89	446.44	505.76	862.35	882.33	2040.5	681.84	848.63	629.12	703.64	594.14	586.82
267	561.09	632.64	963.91	608.91	391.39	368.61	524.67	539.92	290.39	397.78	508.96	456.04	385.08	511.92	414.69	531.94	203.41	298.36	321	420.38	431.64	435.95	500.67	857.75	794	1196.5	814.92	1136.62	579.67	761.22	509.83	508.28
268	618.42	593.08	940.35	881.83	531	585.53	709.18	2236.09	400.47	527.48	709.53	632.93	458.11	661.78	650.27	721.55	330.38	680.84	414.3	318.5	435.47	444.93	429.17	666.48	900.89	2030.58	723.94	895	806.81	821.38	514.29	498.86
269	922.33	594.56	1055.83	793.35	599.25	469.05	783.78	606.96	465.83	533.06	600.24	602.24	385.43	328.43	673.5	653.94	272.3	467.74	384.16	480.32	679.27	572.66	550.16	726.84	695.89	1154.71	604.25	781.88	2508.45	4000.55	757.29	675.65
270	699.66	559.78	887.53	658.48	609.36	459.71	465.86	479.23	446.5	598.04	611	508.79	349.2	315.73	646.87	608.2	271.6	423.08	560.13	585.73	560.52	465.65	548.13	619.6	813.31	1340.38	724.67	799.05	603.56	544.89	614.52	572.88
271	1894.67	1120.34	2811.42	1569.71	1934.07	792.6	1753	845.11	800.15	517	2899.75	1526.63	643.95	724.11	443.19	504.57	463.4	538.33	1062.19	812.25	1203.94	812.78	1451.77	1579.23	837.1	897.35	1856.54	1990.15	1856	891.43	1883.08	2145.25
272	2323.07	1386.8	3675.1	2921.14	2275.67	2025.25	2852.61	2789.5	3198.79	1848.36	4763.11	2783.5	2791.36	1372.79	2481.29	1699.78	400.91	458.83	1846	1964.77	1431.74	1315.89	4491.08	3261.5	2227.93	1811	5444.9	2829.5	2765.33	1630.75	4478.89	2420.67
273	2228.41	1313.77	1005.68	932.08	2429.05	1606.86	2084.33	1707.07	1911.5	945.64	3691.4	2228	1607.14	1260.86	3025.93	1864.07	432.48	465.14	256.1	275.6	2387.16	1684.68	435.17	404.39	1523.12	1104.54	792.8	636.95	2406.16	1092.53	561.52	494.65
274	1801	1538	3215.05	1819.5	2046.81	1526.37	2281.7	1631.06	962.95	612.57	2774.14	1485.64	1250.03	690.84	1207.17	982.28	592.29	885.94	349.35	370	810.46	756.13	2048.52	1697.04	829.26	915.32	2697.31	1579.38	1106.78	1055.09	1372.76	982.76
275	1874.53	2188.25	1452.86	1224.66	938.91	856.43	957.47	921.69	521.48	362.67	1353	1070.45	755.73	477.45	790.88	878.47	474.53	732.44	1020.36	868.64	732.14	733.36	975.95	949.52	690.32	703.44	977.58	1011.69	656.24	637.52	842.08	674.19
276	1450.95	1381.27	1462.91	966	750.41	694.12	810.17	805.21	338.32	302.7	1345.42	945.75	508.85	311.5	771.81	553.67	371.61	778.44	774.06	866.47	370.05	433.11	962.72	895.5	575.83	681.05	905.15	778.69	695.08	801.92	766.21	569.18
277	1213.1	980.15	1280.87	1067.44	881.38	639.33	1027.52	789.38	451.47	341.91	1051.81	787.81	640.16	472.5	958.21	757.32	537.75	950.88	901.67	733.5	659.16	663.3	1025.42	988.26	707.95	671.47	897.68	905.86	763.17	613.22	797.21	729.12
278	1895.27	1526.87	2532.69	1714.18	1849.38	1193.75	1362.8	989.08	861.53	665.76	2877.27	1654.82	1211.6	775.4	1942.08	1509.75	537.08	1027.33	1756.8	1444.5	1185.25	848.25	2236.45	1933.55	924.42	885.5	2812.3	1999.5	1624.11	1155.11	1503.86	1171.68
279	783.6	631.2	1847.9	1363.45	563.1	545.2	695.85	745.3	314.43	325.57	816.7	664.53	463.68	380.96	654.14	555	336.29	425.54	594.09	741.4	487.21	398	949.18	828	607.75	671.25	630.06	595.13	877.54	881.07	698.77	672.41
280	1054.07	736.27	1675	1413.56	615.86	489.86	665.87	743.47	403.92	451.84	777.69	740.85	520.27	447.73	1005.67	1111.67	400.22	466.56	399.48	381.92	582.94	470.33	737.8	735	789.42	1190.17	778.9	979.79	765.45	668.27	942.96	1406.71
281	1427.25	1060.5	2516.36	1590.57	936.2	723.93	864.71	711.57	553.46	426.43	1345.77	920.92	902.53	667.67	1088.43	870.1	410.42	365.21	358.64	560.36	930	603.12	715.4	756.4	506.36	581.45	663.18	464.71	748.67	459.92	1012.36	1248.91
282	776.33	614.89	1136.31	798.31	493.72	393	633.87	443.53	339.19	313.81	504.04	535.34	390.75	331	590.28	488.28	320.8	336.05	460.01	1075.9	435	430.44	768.8	767.87	547.4	485.73	631.93	550.24	590.86	549.21	607.06	455.91
283	3992.44	2050.22	5862.45	2954.45	4382.44	2387.62	3284.67	2033.11	2668.94	1070.06	6232	2999.75	2409.83	993.25	4345.93	2463.71	1275.14	1240.15	346.42	334.74	2410.15	1242.23	592.48	487.96	1551.23	1083.31	1343.84	993.08	4564.1	1846.4	492.76	454.03
284	989	718.82	952.92	832.58	760.6	518.87	434.03	433.33	500.15	473.32	568.67	552.67	417.12	375.53	562.7	502.71	449.89	580.67	331.15	326.33	671.16	646.63	369.35	451.35	577.29	699.07	796.17	1099.42	806.17	560.83	520.33	652.67
285	12042.5	7826.33	4241.67	2971.17	8153.75	5197.83	4843.83	4218.92	9255.44	5943.5	8673.41	5689.83	8993.33	5150.17	8576.6	6948	3381.42	3011.25	318.98	315.44	5777.42	4311.33	628.57	724.14	5620.44	3857.67	950.93	659	12131.08	7313.83	3838.92	3120.92
286	1245.59	762.12	1313.15	986.35	820.59	579.32	914.87	773.88	602.32	428.68	1211.12	1449.31	788.75	578.25	761.64	1066.07	564.73	485.8	315.36	297.91	765.72	602.17	1067.94	920.06	694.54	740.38	771.7	758.41	1073.55	723.45	852.7	728.48
287	5006.64	2680.73	1391.2	1564.47	5418.73	3232.36	3327.66	2397.58	3038	1289.53	1934.08	1236.58	1664.1	673	2348	1455.22	1687.38	1094.31	3310.2	2421.4	4829.5	2461.5	3526.26	3458.37	1897.8	1115.6	4410.5	2064.17	3749.95	1659.1	4480.79	2224
288	654.58	472.73	2297.1	2454.7	593.02	416.34	1055.18	834	3055.33	1313.22	5053.67	2719.22	4030.2	1499.7	3677.92	2099.33	1113.53	810.18	326	318.15	3455.18	1402.64	335.94	370.06	1903.19	1535	551.7	612.2	5711.15	2210.31	550.39	441.44
289	806.28	602.83	1068.9	1141.4	894.33	639.67	628.44	561.17	333.34	311.66	976.23	809.15	371.4	351.76	758.2	684.6	274.12	400.04	281.81	334	443.05	415.25	779.15	778.95	841.56	867	817.67	585	528.92	447.67	672.22	439.96
290	890.42	745.25	5024.76	2259.95	1874.95	907.72	2946.59	1524.88	2568	1553.47	5872.92	2456.15	2354.67	1011.39	3735	2457.25	945.53	815.47	313.07	329.59	2934.56	1050	646.69	864.77	1591.39	1298.06	3587.82	2837.41	2384.11	1444.56	3785.79	2533.88
291	734.42	488.75	1078.27	1044.12	624	528.66	527.67	453.93	413.5	296	594.67	577.12	419.5	339.75	727.33	637	309.04	339.64	291.5	327.43	592.31	509.38	646.7	665.5	667.31	433.56	469.05	412.07	576.5	372	474.91	345.59
292	1267.56	887.89	984.33	752.53	820.13	634.53	313.17	372.74	277.76	260.67	1153	684.19	800.83	501.75	1242	990.73	315	542.44	235.05	274.85	981.11	757.11	400.61	372.24	853.36	791.09	387.86	367.15	824.4	720.48	491.67	284
293	843.33	660.17	1641.79	1310.12	589.93	444.26	712.08	683.16	476.74	471.31	864.27	648.72	647.1	826.8	438.36	537.93	342.67	436.89	452.26	379.47	725.33	737.67	721.73	872.4	713.62	1147.31	825.05	1071.09	721.45	1276.56	743.83	759.65
294	2072.33	1232.5	830.11	685.21	2435	1440.25	932	988.07	284.14	210.43	2206.75	1251.75	307.66	225.03	1972.92	1190	426.5	414.36	352.86	357.5	1839.76	948.65	386.97	317.64	1285.36	841.82	491.4	358.88	2293.06	1015	947.4	761.1
295	2716.76	2029.06	4089.95	2954.32	3304.46	2073.08	3155.81	2031.88	1850.92	913.23	472.2	518.86	2580.46	1387.77	626.5	798.27	1301.06	2705.56	514.02	438.76	1484	1045.34	1862.55	1663.8	1737.92	866.33	2266.25	1674.25	2132.9	1976.25	2408.42	1710.37
296	4694.62	3556.88	5823.96	2485.65	6451.8	2473.67	4345.94	1699.38	2135	1163.05	6089.58	2219.05	2620	1100	3001.2	1764.3	1209.75	2116.67	3519.2	1508.4	1208.58	867.12	4841.31	2870.3	1450.46	685	5305.84	2641.75	2246.93	1443.5	4254.2	2106.53
297	5743.94	5250.29	3064.13	1877.47	5943.31	3836.08	2351.64	2153.71	379.29	349.07	2832.91	2110.45	1514.07	998.25	971.71	820.29	2569.25	3544.83	583.77	457.14	2460.83	1869.92	624.64	702.15	3024.67	1980.07	648.11	519.14	5478.63	3138.25	1568.8	1416.4
298	7216.25	4027.5	901.32	559.74	4464.83	2756.67	533.09	462	1912.89	679.67	975.92	877.09	1096.07	610.14	1116.08	880.25	5688.14	3971.5	298.01	320.59	3456.78	1872	363.86	373.16	965.43	868.43	454.89	286.7	877.42	477.63	675	518.67
299	12381.62	7703.38	11717.45	7158.36	11915.93	5884.8	10104.81	5376.19	8406.33	3278.08	11324	5129.56	9079.62	3322.85	1246	847.6	2553.4	2706.53	562.11	367.33	2184.06	1052.56	1747.42	1591.42	4415	2162.07	7856.34	4230.43	12572.75	4573.17	9469.69	4425.5
300	2444.82	2190.64	944.1	659	2332.56	1380	710.43	688.66	1177	873.69	1162	933.67	1890.44	1031.11	1824.33	1478.78	1585.93	1816.73	315.15	320.77	1695.17	1097	423.45	487.57	1450.06	946.81	813.67	582.54	2944.18	1381	447.63	475.05
301	1492.17	719.62	4750.26	3769.4	1855.94	1216.38	1873	994.48	1466.83	652.96	2404.66	1555.5	1291.17	449.17	1751.5	1158.92	585.51	619.67	431.74	444.43	1002.72	719.45	2083.35	1477.3	1095.71	599.59	2140.05	1131.14	1573.33	793.19	1626.91	943.82
302	5892.58	3358.08	8633.2	5939.07	6455.25	4227.25	6901.84	4476.75	5979.45	2802.73	4836.92	2914.75	6087.25	2953.83	430.29	471.86	1202.29	1285.35	398.8	368.1	4344.58	2496.83	999.56	860.06	3588.83	1846	997	714.9	7034.57	3972.72	4651.22	3197.67
303	8467.44	5215.78	12914	7249.72	8948.19	5572.19	7962.62	5575.81	7425.2	3420.7	13382.06	7271.76	7526.46	3522.93	9895.95	6507.29	3103.22	3077.89	365.13	335.81	5164.08	2762.67	1167.6	1577.6	3010.17	1647.74	1371.06	933.33	11542.5	5069.3	9340.26	5362.74
304	2293.4	1297.4	2738.65	1618.96	3174.56	1943.44	1582.82	1073.05	1425.21	666.84	3177.29	1509.38	1630.94	672.06	420.6	474.67	706.82	947.04	438.43	375.93	1560.89	954.05	1743.72	1905.22	1075.63	789.63	2062.42	1432.42	2562.94	1108.25	2316.14	1338.67
305	1812.6	1250.25	1819.89	1383.53	1743.27	1210.18	1128.25	987.35	1250.55	737.28	2438	1306.5	988.67	634.75	1299.75	1179	689.8	877.4	466.31	460	1587.94	1012.88	1253.5	1470.62	790.68	738.81	1322.08	1404.38	1635.45	890.64	1396.81	1212.62
306	754.78	708.22	1288.11	1011.33	707.7	548.25	636.96	552.08	418.12	294.71	618.39	654	493.96	350.74	755	599.06	351.43	665.5	492.21	591.71	872.17	498.08	854	1206.13	504.72	773.89	806.04	792.61	595.38	417.35	797.75	646.62
